Cl.Ord.ID,Instrument,Side,Quantity,Price
ord0001,Tulip,1,420,39.2
ord0002,Orchid,1,580,74.8
ord0003,Rose,2,110,53.0
ord0004,Tulip,1,280,18.6
ord0005,Rose,2,790,77.8
ord0006,Rose,1,260,47.4
ord0007,Tulip,2,70,35.8
ord0008,Lotus,2,440,53.4
ord0009,Tulip,1,580,37.0
ord0010,Rose,2,880,41.2
ord0011,Orchid,1,110,68.7
ord0012,Rose,1,400,46.2
ord0013,Lavender,1,850,47.6
ord0014,Lotus,2,420,34.2
ord0015,Lavender,2,380,48.6
ord0016,Tulip,2,820,36.8
ord0017,Lavender,2,320,29.3
ord0018,Orchid,1,200,99.6
ord0019,Lotus,2,130,51.0
ord0020,Tulip,1,910,26.9
ord0021,Rose,2,490,78.4
ord0022,Lotus,2,680,48.8
ord0023,Orchid,1,190,54.0
ord0024,Lotus,1,160,54.3
ord0025,Lavender,1,540,29.2
ord0026,Lotus,2,340,44.3
ord0027,Orchid,1,190,71.9
ord0028,Lavender,1,400,40.8
ord0029,Lavender,2,380,30.5
ord0030,Lotus,1,750,58.1
ord0031,Rose,2,940,62.2
ord0032,Lotus,2,640,59.9
ord0033,Orchid,2,750,56.5
ord0034,Tulip,1,840,26.9
ord0035,Orchid,2,410,94.3
ord0036,Tulip,2,450,18.3
ord0037,Rose,2,430,64.2
ord0038,Tulip,1,420,21.3
ord0039,Tulip,2,1000,20.1
ord0040,Rose,1,470,44.7
ord0041,Lotus,1,190,46.4
ord0042,Lotus,2,890,42.6
ord0043,Orchid,2,380,57.2
ord0044,Orchid,1,670,93.4
ord0045,Lavender,2,510,26.5
ord0046,Orchid,1,730,63.4
ord0047,Lavender,2,130,47.2
ord0048,Tulip,2,940,22.4
ord0049,Lavender,1,870,32.7
ord0050,Rose,2,370,62.6
ord0051,Tulip,2,700,37.8
ord0052,Orchid,1,840,72.7
ord0053,Lotus,2,710,48.5
ord0054,Orchid,1,270,84.7
ord0055,Lavender,2,990,28.3
ord0056,Orchid,2,310,54.4
ord0057,Lotus,2,80,44.3
ord0058,Orchid,1,860,89.7
ord0059,Lotus,1,750,40.0
ord0060,Rose,2,720,74.8
ord0061,Tulip,2,800,24.0
ord0062,Lotus,2,550,57.9
ord0063,Tulip,1,470,18.3
ord0064,Orchid,1,180,81.3
ord0065,Lavender,2,20,43.1
ord0066,Rose,1,360,58.5
ord0067,Tulip,2,120,23.1
ord0068,Orchid,2,970,67.8
ord0069,Tulip,2,500,19.1
ord0070,Tulip,2,300,25.0
ord0071,Tulip,2,980,23.9
ord0072,Lavender,1,490,28.2
ord0073,Rose,1,660,45.2
ord0074,Rose,2,660,49.7
ord0075,Lotus,1,500,53.4
ord0076,Rose,2,370,49.6
ord0077,Rose,1,520,42.0
ord0078,Tulip,2,10,37.6
ord0079,Lavender,1,950,41.2
ord0080,Rose,2,190,65.4
ord0081,Lotus,1,820,48.5
ord0082,Rose,1,820,44.4
ord0083,Lavender,1,750,26.7
ord0084,Rose,2,10,64.7
ord0085,Lotus,1,420,40.5
ord0086,Tulip,1,630,17.1
ord0087,Rose,1,980,51.6
ord0088,Lotus,2,20,55.7
ord0089,Lavender,1,20,33.3
ord0090,Tulip,1,770,42.8
ord0091,Orchid,1,610,60.6
ord0092,Orchid,1,220,93.3
ord0093,Lotus,2,830,51.4
ord0094,Orchid,1,80,87.3
ord0095,Lotus,1,750,35.0
ord0096,Lavender,2,820,28.6
ord0097,Lavender,1,770,28.6
ord0098,Rose,1,350,52.1
ord0099,Lavender,1,70,49.5
ord0100,Lotus,1,470,53.5
ord0101,Rose,2,910,49.7
ord0102,Orchid,1,930,94.7
ord0103,Rose,1,510,65.6
ord0104,Lotus,2,990,59.2
ord0105,Lotus,2,130,50.3
ord0106,Lavender,1,910,24.8
ord0107,Lotus,2,990,38.1
ord0108,Lavender,2,650,37.7
ord0109,Rose,1,20,74.2
ord0110,Tulip,1,70,21.7
ord0111,Lavender,1,960,32.5
ord0112,Rose,1,90,68.7
ord0113,Lotus,1,670,38.8
ord0114,Tulip,2,270,17.9
ord0115,Orchid,2,10,99.8
ord0116,Lotus,1,1000,36.5
ord0117,Lotus,2,830,42.0
ord0118,Rose,1,440,66.0
ord0119,Tulip,2,160,25.9
ord0120,Lotus,2,840,44.1
ord0121,Tulip,1,480,41.4
ord0122,Rose,2,180,60.8
ord0123,Lavender,1,140,23.6
ord0124,Orchid,1,570,64.9
ord0125,Lavender,1,300,44.7
ord0126,Tulip,2,710,16.3
ord0127,Lavender,1,260,30.0
ord0128,Rose,2,550,45.7
ord0129,Orchid,2,550,76.0
ord0130,Rose,2,820,57.2
ord0131,Lotus,1,350,41.0
ord0132,Orchid,1,170,75.4
ord0133,Lotus,1,990,54.2
ord0134,Orchid,2,170,92.2
ord0135,Orchid,2,540,88.3
ord0136,Lavender,1,110,43.1
ord0137,Lotus,2,580,53.7
ord0138,Tulip,2,100,19.1
ord0139,Lavender,1,180,28.7
ord0140,Lotus,2,950,40.3
ord0141,Lotus,2,180,43.3
ord0142,Lotus,2,720,50.6
ord0143,Lotus,2,550,42.1
ord0144,Orchid,1,110,66.4
ord0145,Lotus,1,910,45.2
ord0146,Orchid,1,50,71.3
ord0147,Lotus,2,680,36.1
ord0148,Orchid,1,510,55.6
ord0149,Lavender,1,900,36.5
ord0150,Lotus,1,700,49.5
ord0151,Rose,2,200,48.6
ord0152,Lavender,2,490,48.0
ord0153,Rose,2,390,45.5
ord0154,Tulip,1,410,27.3
ord0155,Lavender,1,730,43.0
ord0156,Lavender,1,910,26.9
ord0157,Lotus,2,180,51.5
ord0158,Orchid,2,310,78.4
ord0159,Lotus,2,400,33.3
ord0160,Lavender,2,930,21.9
ord0161,Rose,2,20,72.8
ord0162,Rose,2,850,65.0
ord0163,Rose,2,580,73.4
ord0164,Tulip,2,400,15.3
ord0165,Lavender,2,290,35.3
ord0166,Orchid,1,300,69.5
ord0167,Orchid,1,810,73.5
ord0168,Rose,2,130,64.3
ord0169,Lavender,1,890,32.7
ord0170,Lotus,1,610,52.8
ord0171,Tulip,1,260,43.7
ord0172,Lavender,1,550,30.5
ord0173,Rose,2,520,60.9
ord0174,Lavender,1,750,44.8
ord0175,Lotus,1,510,56.6
ord0176,Orchid,1,90,53.6
ord0177,Lotus,1,530,37.1
ord0178,Orchid,2,380,56.9
ord0179,Rose,1,340,48.6
ord0180,Lavender,2,340,28.3
ord0181,Tulip,1,490,36.2
ord0182,Tulip,1,620,38.0
ord0183,Lavender,1,810,45.8
ord0184,Tulip,2,280,38.9
ord0185,Tulip,1,730,28.4
ord0186,Rose,2,150,61.7
ord0187,Lotus,2,900,48.8
ord0188,Lotus,2,800,34.2
ord0189,Tulip,2,470,26.1
ord0190,Lavender,1,180,35.4
ord0191,Lotus,2,340,50.5
ord0192,Orchid,2,670,87.9
ord0193,Rose,1,460,65.5
ord0194,Rose,2,10,79.0
ord0195,Orchid,2,580,76.4
ord0196,Rose,1,900,43.9
ord0197,Lavender,2,960,27.4
ord0198,Orchid,2,430,80.7
ord0199,Lotus,1,90,59.2
ord0200,Orchid,1,80,59.2
ord0201,Orchid,2,570,91.6
ord0202,Tulip,1,680,24.3
ord0203,Lotus,2,170,32.4
ord0204,Orchid,2,140,73.5
ord0205,Rose,2,820,72.5
ord0206,Lavender,2,660,39.9
ord0207,Rose,2,850,53.7
ord0208,Lavender,2,960,28.6
ord0209,Lavender,1,860,25.8
ord0210,Lavender,1,740,33.2
ord0211,Lotus,1,90,32.8
ord0212,Orchid,1,330,59.3
ord0213,Orchid,2,690,67.6
ord0214,Lavender,1,670,31.5
ord0215,Tulip,1,970,32.2
ord0216,Lotus,1,860,37.4
ord0217,Tulip,1,30,45.0
ord0218,Rose,2,840,49.0
ord0219,Rose,1,380,56.1
ord0220,Orchid,1,510,84.3
ord0221,Rose,1,830,68.7
ord0222,Tulip,1,270,30.1
ord0223,Tulip,2,410,21.1
ord0224,Tulip,1,930,17.7
ord0225,Rose,2,780,51.5
ord0226,Lotus,2,110,47.3
ord0227,Orchid,1,270,98.7
ord0228,Rose,2,710,54.2
ord0229,Rose,2,450,59.3
ord0230,Orchid,2,470,72.6
ord0231,Orchid,1,840,97.9
ord0232,Lotus,1,980,57.7
ord0233,Rose,2,980,76.1
ord0234,Rose,1,520,43.2
ord0235,Tulip,1,170,29.7
ord0236,Rose,2,750,43.1
ord0237,Lavender,2,130,33.4
ord0238,Lavender,2,560,20.2
ord0239,Lotus,2,610,56.9
ord0240,Rose,1,190,60.4
ord0241,Orchid,2,350,79.7
ord0242,Rose,2,400,72.7
ord0243,Orchid,1,140,90.0
ord0244,Orchid,2,230,96.0
ord0245,Lotus,1,340,44.0
ord0246,Tulip,2,590,43.2
ord0247,Rose,2,580,68.2
ord0248,Tulip,1,960,17.0
ord0249,Lotus,2,210,48.6
ord0250,Lavender,2,290,24.1
ord0251,Orchid,2,930,53.3
ord0252,Rose,2,680,60.6
ord0253,Lavender,2,950,35.6
ord0254,Orchid,2,220,75.0
ord0255,Lavender,2,720,29.9
ord0256,Lotus,1,570,35.8
ord0257,Tulip,2,840,43.6
ord0258,Lavender,2,170,44.3
ord0259,Lotus,2,340,46.2
ord0260,Tulip,1,180,38.2
ord0261,Lavender,1,260,22.8
ord0262,Rose,1,410,41.0
ord0263,Rose,2,520,46.2
ord0264,Tulip,1,350,15.9
ord0265,Lavender,1,400,28.5
ord0266,Lotus,1,430,43.6
ord0267,Rose,2,1000,54.3
ord0268,Tulip,2,810,43.2
ord0269,Rose,1,310,57.2
ord0270,Lotus,2,410,44.9
ord0271,Orchid,2,480,99.1
ord0272,Lavender,1,630,40.1
ord0273,Rose,2,850,73.6
ord0274,Lotus,1,800,57.0
ord0275,Lotus,1,930,40.9
ord0276,Tulip,2,970,18.0
ord0277,Lotus,1,950,48.1
ord0278,Lotus,1,740,44.5
ord0279,Orchid,1,270,52.4
ord0280,Lotus,2,450,42.5
ord0281,Rose,1,390,48.7
ord0282,Tulip,2,220,21.0
ord0283,Orchid,1,890,89.6
ord0284,Lavender,2,270,48.0
ord0285,Orchid,1,590,69.2
ord0286,Lotus,1,520,55.3
ord0287,Orchid,2,700,50.1
ord0288,Lotus,2,160,51.0
ord0289,Lavender,2,240,48.0
ord0290,Orchid,1,950,56.5
ord0291,Orchid,1,220,93.1
ord0292,Orchid,1,20,91.6
ord0293,Lotus,1,500,56.7
ord0294,Lavender,1,410,26.7
ord0295,Rose,1,840,72.8
ord0296,Orchid,1,50,92.4
ord0297,Orchid,2,20,55.4
ord0298,Lavender,2,590,36.9
ord0299,Tulip,2,840,25.7
ord0300,Tulip,1,610,23.6
ord0301,Lotus,1,280,57.5
ord0302,Lotus,2,190,48.7
ord0303,Rose,1,80,59.6
ord0304,Lavender,1,10,35.6
ord0305,Rose,2,620,54.1
ord0306,Orchid,1,270,80.1
ord0307,Lotus,1,420,47.5
ord0308,Lotus,1,40,46.9
ord0309,Tulip,1,230,32.3
ord0310,Orchid,1,120,81.6
ord0311,Lavender,2,70,30.0
ord0312,Orchid,1,20,62.0
ord0313,Orchid,1,370,80.3
ord0314,Rose,2,910,55.3
ord0315,Tulip,2,350,22.5
ord0316,Lotus,2,950,58.6
ord0317,Tulip,2,400,30.3
ord0318,Lavender,2,970,39.6
ord0319,Lavender,2,660,29.6
ord0320,Orchid,1,440,68.0
ord0321,Tulip,1,150,33.6
ord0322,Lotus,1,990,50.1
ord0323,Rose,1,670,52.5
ord0324,Lavender,1,310,46.4
ord0325,Lotus,2,30,58.9
ord0326,Tulip,1,370,33.3
ord0327,Lotus,1,650,48.6
ord0328,Lavender,2,770,31.7
ord0329,Orchid,1,370,91.9
ord0330,Orchid,1,470,63.3
ord0331,Tulip,1,610,42.5
ord0332,Tulip,2,530,41.4
ord0333,Lotus,1,880,47.3
ord0334,Rose,1,110,59.4
ord0335,Lavender,2,840,23.1
ord0336,Tulip,1,700,23.9
ord0337,Tulip,1,390,35.6
ord0338,Orchid,2,170,59.7
ord0339,Rose,1,330,58.7
ord0340,Rose,2,990,78.7
ord0341,Rose,1,50,70.1
ord0342,Lavender,1,740,35.5
ord0343,Rose,2,400,57.8
ord0344,Tulip,2,350,27.4
ord0345,Rose,1,350,75.5
ord0346,Orchid,2,60,82.2
ord0347,Orchid,1,690,92.6
ord0348,Rose,2,370,50.9
ord0349,Lavender,1,760,36.0
ord0350,Lotus,2,750,50.7
ord0351,Tulip,1,450,20.4
ord0352,Rose,2,980,73.0
ord0353,Lotus,1,130,54.4
ord0354,Tulip,1,550,18.2
ord0355,Lavender,2,520,37.6
ord0356,Tulip,2,770,27.8
ord0357,Orchid,1,560,86.5
ord0358,Lavender,2,320,23.7
ord0359,Orchid,1,390,68.9
ord0360,Orchid,2,470,51.4
ord0361,Tulip,1,220,29.4
ord0362,Orchid,1,940,84.5
ord0363,Tulip,2,750,17.7
ord0364,Orchid,1,940,58.3
ord0365,Lavender,1,110,37.2
ord0366,Orchid,2,240,90.4
ord0367,Lavender,1,150,33.1
ord0368,Lotus,2,830,33.7
ord0369,Lavender,2,410,46.6
ord0370,Lavender,2,880,24.4
ord0371,Rose,1,670,57.5
ord0372,Tulip,2,980,43.8
ord0373,Tulip,2,810,40.4
ord0374,Lotus,2,740,30.2
ord0375,Orchid,1,790,97.7
ord0376,Lavender,1,330,40.6
ord0377,Lavender,2,740,49.8
ord0378,Rose,1,750,40.1
ord0379,Rose,1,670,64.7
ord0380,Lavender,1,950,23.9
ord0381,Tulip,2,280,40.4
ord0382,Orchid,2,880,75.1
ord0383,Lotus,2,910,47.2
ord0384,Tulip,2,900,36.9
ord0385,Orchid,2,410,59.9
ord0386,Lotus,1,80,48.6
ord0387,Orchid,1,130,52.6
ord0388,Lotus,1,440,32.1
ord0389,Lotus,2,660,31.8
ord0390,Lavender,2,950,36.4
ord0391,Orchid,2,710,88.5
ord0392,Lotus,2,100,47.8
ord0393,Tulip,1,260,26.5
ord0394,Orchid,2,660,61.5
ord0395,Rose,1,770,69.9
ord0396,Orchid,1,110,57.2
ord0397,Rose,2,890,53.3
ord0398,Lotus,2,40,38.4
ord0399,Tulip,2,700,27.1
ord0400,Lotus,2,280,39.2
ord0401,Tulip,1,630,40.5
ord0402,Lotus,1,400,53.9
ord0403,Lavender,2,20,21.9
ord0404,Lavender,1,180,38.7
ord0405,Tulip,1,970,26.2
ord0406,Tulip,2,450,17.3
ord0407,Rose,1,400,70.1
ord0408,Orchid,1,250,87.2
ord0409,Tulip,1,270,19.1
